16, 0.01904648, 605.0, 16.0, 1
160, 0.18988219, 605.0, 16.0, 10
320, 0.37875988, 605.0, 16.0, 20
480, 0.56759739, 605.0, 16.0, 30
640, 0.75645499, 605.175, 16.0, 40
750, 0.879632, 650.1400000000003, 15.0, 50
840, 0.9815424, 700.2, 14.0, 60
840, 1.00573473, 798.8571428571429, 12.0, 70
880, 1.0026368, 912.9875, 10.0, 80
810, 1.00435576, 1026.6111111111106, 9.0, 90
800, 1.00600856, 1140.2000000000003, 8.0, 100
880, 1.0074752, 1253.8363636363642, 7.2727272727272725, 110
840, 1.0194144, 1366.4000000000003, 7.0, 120
780, 1.01097576, 1479.376923076923, 6.0, 130
840, 1.0243504, 1592.0071428571428, 6.0, 140
829, 1.014084, 1704.213333333333, 5.0, 150
800, 1.02494607, 1816.53125, 5.0, 160
850, 1.02865652, 1928.8823529411766, 5.0, 170
859, 1.018804, 2039.1944444444443, 4.0, 180
760, 1.02064842, 2151.189473684211, 4.0, 190
800, 1.039216, 2263.1250000000014, 4.0, 200
840, 1.04113872, 2375.0571428571416, 4.0, 210
880, 1.025216, 2488.113636363635, 3.6363636363636362, 220
788, 1.0270312, 2592.182608695652, 3.0, 230
720, 1.02855, 2703.4458333333323, 3.0, 240
750, 1.04013684, 2814.7919999999995, 3.0, 250
780, 1.0540528, 2926.053846153846, 3.0, 260
810, 1.0566016, 3037.314814814814, 3.0, 270
840, 1.05242832, 3148.582142857142, 3.0, 280
870, 1.03656288, 3260.3310344827596, 2.9689655172413785, 290
900, 1.03784256, 3361.626666666667, 2.2566666666666677, 300
