transactionsDone, bandwidthUsed, avgTransactionTime, clients
9, 0.00969017, 1000, 1
99, 0.10043946, 969, 10
99, 0.11128916, 1939, 20
99, 0.12213886, 2908, 30
99, 0.13298856, 3034, 40
98, 0.14297824, 4049, 50
98, 0.15382794, 3616, 60
97, 0.16369028, 4147, 70
96, 0.17367996, 4539, 80
96, 0.1814595, 5097, 90
95, 0.1882099, 5556, 100
94, 0.19444252, 5606, 110
93, 0.2022979, 6025, 120
93, 0.20549618, 6193, 130
92, 0.21690144, 7222, 140
91, 0.22639944, 8263, 150
