transactionsDone, bandwidthUsed, avgTransactionTime, clients
9, 0.00969017, 1000, 1
90, 0.0709817, 1000, 10
250, 0.18336596, 499, 20
315, 0.24279416, 929, 30
525, 0.3904576, 481, 40
795, 0.59179872, 703, 50
855, 0.64264256, 639, 60
1065, 0.79360676, 685, 70
1170, 0.87311856, 625, 80
1200, 0.89724288, 740, 90
1305, 0.9780408, 681, 100
1305, 0.97926976, 785, 110
1305, 0.98349808, 777, 120
1290, 0.98357, 901, 130
1275, 0.98413424, 1009, 140
1275, 0.98565428, 1013, 150
