transactionsDone, bandwidthUsed, avgTransactionTime, clients
9, 0.00969017, 1000, 1
125, 0.09957686, 475, 10
345, 0.26709684, 688, 20
490, 0.38475592, 622, 30
490, 0.39390926, 822, 40
490, 0.4024033, 1016, 50
485, 0.40812792, 1163, 60
485, 0.41595622, 1403, 70
480, 0.42166348, 1286, 80
475, 0.42720074, 1740, 90
475, 0.43317738, 1747, 100
470, 0.44094102, 1746, 110
465, 0.44125612, 2048, 120
465, 0.44945914, 2291, 130
460, 0.4497916, 2573, 140
455, 0.45407016, 2586, 150
