transactionsDone, bandwidthUsed, avgTransactionTime, clients
9, 0.00969017, 1000, 1
90, 0.0709817, 1000, 10
220, 0.17088303, 972, 20
440, 0.33418256, 837, 30
630, 0.47792649, 593, 40
830, 0.62247199, 607, 50
930, 0.6997689, 691, 60
960, 0.73593046, 585, 70
960, 0.74271022, 681, 80
950, 0.74432302, 873, 90
940, 0.74633769, 876, 100
940, 0.74887569, 1065, 110
930, 0.75513212, 1145, 120
920, 0.758519, 1195, 130
920, 0.76529876, 1167, 140
910, 0.76691156, 1264, 150
